商品ID,商品自定义ID,商品条形码,商品名称,货架号,所属品牌,前台一级分类,前台二级分类,后台一级分类,后台二级分类,后台三级分类,商品属性,销售价格,库存数量,是否上线,每单限购,商品类型,重量(g)
15761343830744772,,6920907800616,好丽友蛋黄派46g,,好丽友,休闲零食,饼干点心,休闲食品,糕点类,派,,4.5,4,上线,不限购,标品,46
15761343830744812,,6923450601549,绿箭薄荷味口香糖64g,,箭牌,休闲零食,糖果类,休闲食品,糖果类,口香糖,,9.9,6,上线,不限购,标品,64
15761343840745431,,6946995502003,福佳香手撕面包118g,,其他,休闲零食,饼干点心,休闲食品,糕点类,面包类,,6,4,上线,不限购,非标品,118
15761343830744550,,6934364807248,米老头多谷果子海苔味160g,,米老头,休闲零食,饼干点心,休闲食品,海产品,海苔类,,10,3,上线,不限购,标品,160
15761343830744739,,6932873822127,顺清柔去汗醒肤湿巾10片,,洁昕,纸类用品,湿纸巾,居家日用,纸品湿巾,湿纸巾,,2.5,8,上线,不限购,标品,100
15761343830744572,,6925489700446,丹夫扭仔大酥烤肉味60g,,其他,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,7.8,3,上线,不限购,非标品,60
15761343810743480,,6903252714074,康师傅老坛酸菜牛肉面(桶装)124g,,康师傅,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,5,9,上线,不限购,标品,118
15761343750740795,,6948195840336,金龙鱼饺子专用麦芯粉5kg,,金龙鱼,粮油副食,米面,粮油米面,面粉类,中筋面粉,,59,0,上线,不限购,标品,5000
15761343820744251,,6943544370380,可拉奥牛乳饼干原味145g,,可拉奥,休闲零食,饼干点心,休闲食品,饼干类,其他饼干,,6,5,上线,不限购,标品,145
15761343830744920,,6920907808179,好丽友好多鱼脆香烧烤味33g,,好丽友,休闲零食,膨化食品,休闲食品,饼干类,苏打饼干,,4.9,4,上线,不限购,标品,33
15761343820744213,,6922456896508,康师傅绿茶1L,,康师傅,酒水饮料,综合饮料,饮料,茶饮料,绿茶饮料,,4.8,6,上线,不限购,标品,1000
15761343820744229,,6935820218202,稻香村小麻花五香味120g,,其他,休闲零食,饼干点心,休闲食品,糕点类,麻花,,9,4,上线,不限购,非标品,120
15761343830744655,,6901668200235,太平加钙梳打香葱味100g,,太平,休闲零食,饼干点心,休闲食品,饼干类,苏打饼干,,4.5,5,上线,不限购,标品,100
15761343840745318,,6920354817052,高露洁细毛护龈牙刷单支装1*1,,龙路,清洁洗护,牙膏牙刷,个护清洁,口腔护理,普通牙刷,,3.6,6,上线,不限购,标品,20
15761343830744908,,6909995103694,旺旺小小酥黑胡椒味60g,,旺旺,休闲零食,膨化食品,休闲食品,膨化食品,膨化饼干/膨化甜甜圈,,4.5,5,上线,不限购,标品,60
15761343840745077,,6956416203426,美汁源果粒奶优草莓450g,,可口可乐,乳品饮料,,饮料,乳品饮料,果奶饮料,,4.5,4,上线,不限购,标品,450
15761343840745238,,6901754131016,乌江麻辣萝卜60g,,乌江,方便食品,泡面伴侣,调味品,酱菜类,蔬菜类,,2,8,上线,不限购,标品,60
15761343840745190,,6911988014276,达利园和其正凉茶550ml,,和其正,酒水饮料,综合饮料,饮料,茶饮料,凉茶饮料,,5,19,上线,不限购,标品,550
15761343840745174,,6901754060101,乌江脆口萝卜150g,,乌江,粮油副食,腌渍酱品,调味品,酱菜类,蔬菜类,,4.9,4,上线,不限购,标品,150
15761343840745061,,6902083891329,娃哈哈营养快线香草味500ml,,娃哈哈,乳品饮料,,饮料,乳品饮料,果奶饮料,,5,3,上线,不限购,标品,500
15761343840745213,,6901754131061,乌江凉拌海带丝鲜香味70g,,乌江,方便食品,泡面伴侣,调味品,酱菜类,蔬菜类,,3.5,7,上线,不限购,标品,70
15761343840745143,,6924693000489,元之源烧烤牛肉75g,,其他,休闲零食,即食食品,休闲食品,肉干肉脯,牛肉类,,20,5,上线,不限购,非标品,75
15761343820744202,,6920731763156,康师傅松派夹心饼草莓牛奶118g,,康师傅,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,4.9,5,上线,不限购,标品,118
15761343790742570,,6913936068409,景芝老烧42°480ml,,其他,酒水饮料,酒类,其他,其他,其他,,12,5,上线,不限购,非标品,480
15761343820744035,,6920907813883,好丽友点点酱和风沙拉酱味70g,,好丽友,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,5.9,5,上线,不限购,标品,70
15761343820743902,,6914782203747,徐福记法式薄饼花生味85g,,徐福记,休闲零食,饼干点心,休闲食品,饼干类,苏打饼干,,8,5,上线,不限购,标品,122
15761343820744191,,6939249400484,龙大肉食粽香卤蛋30g,,龙大,方便食品,泡面伴侣,便利食品,方便速食,蛋类,,1.9,16,上线,不限购,标品,30
15761343830744588,,6923450681831,彩虹糖果莓味40g,,彩虹糖,休闲零食,糖果类,休闲食品,糖果类,软糖,,4.5,6,上线,不限购,标品,40
15761343830744879,,6914782083189,徐福记小丸煎饼黑芝麻100g,,徐福记,休闲零食,饼干点心,休闲食品,糕点类,煎饼,,6.9,3,上线,不限购,标品,100
15761343830744645,,6932522000968,公社联盟山楂球108g,,公社联盟,休闲零食,蜂蜜蜜饯,水果,山楂类,山楂,,10.8,3,上线,不限购,非标品,108
15761343830744679,,6923450662106,箭牌5弹立方口香糖酷酸草莓味18粒40g,,5,休闲零食,糖果类,休闲食品,糖果类,口香糖,,11.9,0,上线,不限购,标品,40
